ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-14T16:52:22Z	baseline	strat_momentum	{"abs_mom": false, "lookback": 12, "regime_ma": 10, "stock_ma": 0}	25	27.882	-37.027	0.753	9.736	47.972	12.344	-22.350	14.717	first entry
2026-09-14T16:52:47Z	discard	strat_rsi_pullback	{}	25	12.631	-14.211	0.889	6.098	19.233	12.437	-25.620	14.717	TRAIN 12.63% <= best 27.88%
2026-09-14T16:53:21Z	discard	strat_combo	{"abs_mom": true, "lookback": 9, "regime_ma": 6, "stock_ma": 0}	25	10.114	-7.337	1.378	3.422	16.897	4.367	-19.600	14.717	TRAIN 10.11% <= best 27.88%
2026-09-14T16:53:43Z	discard	strat_combo	{"abs_mom": true, "htf_min": 55, "lookback": 9, "min_recovery": 2.0, "pullback_max": 50, "regime_ma": 6, "rising_bars": 1, "stock_ma": 0}	25	20.869	-29.470	0.708	9.440	32.876	17.845	-16.986	14.717	TRAIN 20.87% <= best 27.88%
2026-09-14T17:54:43Z	discard	strat_softcombo	{"abs_mom": true, "bonus": 0.3, "htf_min": 55, "lookback": 9, "min_recovery": 2.0, "pullback_max": 50, "regime_ma": 6, "rising_bars": 1, "stock_ma": 0}	25	20.350	-39.320	0.518	11.672	29.251	14.896	-17.739	14.717	TRAIN 20.35% <= best 27.88%
2026-09-14T17:55:05Z	discard	strat_newhigh	{"lookback": 9, "max_dist": 0.15, "regime_ma": 6}	25	24.418	-29.494	0.828	24.792	24.061	14.569	-21.248	14.717	TRAIN 24.42% <= best 27.88%
2026-09-14T17:55:27Z	discard	strat_volmom	{"lookback": 9, "regime_ma": 6, "vol_lb": 9}	25	20.390	-25.683	0.794	14.494	26.295	17.390	-15.501	14.717	TRAIN 20.39% <= best 27.88%
2026-09-14T17:56:06Z	discard	strat_softnewhigh	{"bonus": 0.3, "htf_min": 55, "lookback": 9, "max_dist": 0.15, "min_recovery": 2.0, "pullback_max": 50, "regime_ma": 6, "rising_bars": 1}	25	23.136	-23.871	0.969	20.491	25.711	10.977	-29.757	14.717	TRAIN 23.14% <= best 27.88%
2026-09-14T17:56:23Z	discard	strat_momentum	{"abs_mom": true, "lookback": 9, "regime_ma": 6, "stock_ma": 0}	25	23.043	-41.300	0.558	19.141	26.883	14.438	-16.525	14.717	TRAIN 23.04% <= best 27.88%
2026-09-14T17:56:50Z	discard	strat_volmom	{"lookback": 12, "regime_ma": 6, "vol_lb": 12}	25	20.140	-29.416	0.685	9.034	31.781	9.589	-22.424	14.717	TRAIN 20.14% <= best 27.88%
2026-09-14T17:56:59Z	keep	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 6}	25	32.896	-23.179	1.419	23.624	42.383	18.735	-20.595	14.717	beats best on train
2026-09-14T17:57:11Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 10}	25	32.146	-23.392	1.374	22.593	41.947	19.638	-21.758	14.717	TRAIN 32.15% <= best 32.90%
2026-09-14T17:57:26Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.07, "regime_ma": 6}	25	29.780	-24.252	1.228	20.732	39.038	28.827	-16.753	14.717	TRAIN 29.78% <= best 32.90%
2026-09-14T17:57:57Z	discard	strat_volnewhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 6, "vol_lb": 9}	25	19.314	-15.180	1.272	16.017	22.546	9.789	-13.191	14.717	TRAIN 19.31% <= best 32.90%
2026-09-14T17:58:26Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6}	25	28.264	-26.604	1.062	13.416	44.228	28.424	-11.159	14.717	TRAIN 28.26% <= best 32.90%
2026-09-14T17:58:36Z	discard	strat_momentum	{"abs_mom": true, "lookback": 12, "regime_ma": 10, "stock_ma": 6}	25	26.085	-30.447	0.857	18.366	33.912	8.723	-28.099	14.717	TRAIN 26.08% <= best 32.90%
2026-09-14T17:58:53Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.12, "regime_ma": 6}	25	31.237	-27.214	1.148	23.630	38.926	16.450	-19.074	14.717	TRAIN 31.24% <= best 32.90%
2026-09-14T17:59:21Z	discard	strat_pullback_trend	{"htf_min": 60, "min_recovery": 3.0, "pullback_max": 45, "rising_bars": 2}	25	11.458	-14.211	0.806	4.538	18.482	11.462	-24.402	14.717	TRAIN 11.46% <= best 32.90%
2026-09-14T17:59:35Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 0}	25	31.912	-46.126	0.692	22.962	41.052	24.572	-38.251	14.717	TRAIN 31.91% <= best 32.90%
2026-09-14T18:00:18Z	discard	strat_breakrec	{"lookback": 12, "max_dist": 0.1, "regime_ma": 6}	25	27.345	-26.174	1.045	25.937	28.702	12.275	-14.414	14.717	TRAIN 27.35% <= best 32.90%
2026-09-14T18:01:03Z	discard	strat_softcombo	{"abs_mom": true, "bonus": 0.6, "htf_min": 55, "lookback": 9, "min_recovery": 2.0, "pullback_max": 50, "regime_ma": 6, "rising_bars": 1, "stock_ma": 0}	25	22.626	-37.695	0.600	10.748	35.136	15.027	-19.286	14.717	TRAIN 22.63% <= best 32.90%
2026-09-14T18:27:18Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 0}	25	31.912	-46.126	0.692	22.962	41.052	24.572	-38.251	14.717	TRAIN 31.91% <= best 32.90%
2026-09-14T19:08:23Z	discard	strat_w50k30b	{}	30	17.144	-19.250	0.891	0.758	35.245	14.167	-15.271	14.717	TRAIN 17.14% <= best 32.90%
2026-09-14T19:20:52Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.2}	25	26.875	-18.385	1.462	22.642	31.046	7.688	-21.737	14.717	TRAIN 26.87% <= best 32.90% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-14T19:21:08Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.15}	25	26.421	-20.254	1.304	21.005	31.811	10.464	-20.385	14.717	TRAIN 26.42% <= best 32.90% [cagr] [risk:trail_k=0.15 select:cagr]
2026-09-14T19:21:15Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.07, "regime_ma": 6, "trail_k": 0.2}	25	26.875	-18.385	1.462	22.642	31.046	7.688	-21.737	14.717	TRAIN 26.87% <= best 32.90% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-14T19:21:24Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.2}	25	26.288	-20.481	1.284	18.112	34.610	9.805	-20.609	14.717	TRAIN 26.29% <= best 32.90% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-14T19:21:28Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "max_hold": 12, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 32.90% [cagr] [risk:max_hold=12 select:cagr]
2026-09-14T19:21:35Z	discard	strat_volmom	{"lookback": 9, "regime_ma": 6, "trail_k": 0.2, "vol_lb": 9}	25	19.766	-25.683	0.770	14.510	25.001	17.390	-15.501	14.717	TRAIN 19.77% <= best 32.90% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-14T19:21:51Z	discard	strat_combo	{"abs_mom": true, "htf_min": 55, "lookback": 9, "min_recovery": 2.0, "pullback_max": 50, "regime_ma": 6, "rising_bars": 1, "stock_ma": 0, "trail_k": 0.2}	25	20.726	-28.800	0.720	9.565	32.425	17.895	-16.986	14.717	TRAIN 20.73% <= best 32.90% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-14T19:25:14Z	discard	strat_newhigh	{"lookback": 11, "max_dist": 0.1, "regime_ma": 6}	25	31.542	-16.731	1.885	24.612	38.510	8.245	-21.313	14.717	TRAIN 31.54% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:18Z	discard	strat_newhigh	{"lookback": 13, "max_dist": 0.1, "regime_ma": 6}	25	29.908	-17.579	1.701	19.910	40.215	10.481	-19.890	14.717	TRAIN 29.91% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:21Z	discard	strat_newhigh	{"lookback": 10, "max_dist": 0.1, "regime_ma": 6}	25	30.033	-18.758	1.601	22.067	38.112	7.565	-20.936	14.717	TRAIN 30.03% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:26Z	discard	strat_newhigh	{"lookback": 14, "max_dist": 0.1, "regime_ma": 6}	25	29.303	-16.899	1.734	19.182	39.753	10.651	-19.468	14.717	TRAIN 29.30% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:40Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.09, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:44Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.08, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:50Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.11, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:54Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 7}	25	30.778	-19.156	1.607	27.226	34.256	12.255	-17.465	14.717	TRAIN 30.78% <= best 32.90% [cagr] [risk:none select:cagr]
2026-09-14T19:25:57Z	keep	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 5}	25	33.598	-15.924	2.110	26.557	40.676	7.530	-20.612	14.717	beats best on cagr [risk:none select:cagr]
2026-09-14T19:26:01Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 8}	25	29.104	-26.124	1.114	23.914	34.256	11.704	-17.752	14.717	TRAIN 29.10% <= best 33.60% [cagr] [risk:none select:cagr]
2026-09-14T19:27:04Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 33.60% [cagr] [risk:none select:cagr]
2026-09-14T19:27:08Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.09, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 33.60% [cagr] [risk:none select:cagr]
2026-09-14T19:29:33Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "max_hold": 9, "regime_ma": 5}	25	33.125	-18.618	1.779	25.031	41.331	7.530	-20.612	14.717	TRAIN 33.13% <= best 33.60% [cagr] [risk:max_hold=9 select:cagr]
2026-09-14T19:29:43Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "max_hold": 15, "regime_ma": 5}	25	33.598	-15.924	2.110	26.557	40.676	7.530	-20.612	14.717	TRAIN 33.60% <= best 33.60% [cagr] [risk:max_hold=15 select:cagr]
2026-09-14T19:29:50Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "max_hold": 18, "regime_ma": 5}	25	33.598	-15.924	2.110	26.557	40.676	7.530	-20.612	14.717	TRAIN 33.60% <= best 33.60% [cagr] [risk:max_hold=18 select:cagr]
2026-09-14T19:30:00Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.25}	25	29.195	-18.318	1.594	24.156	34.191	5.986	-22.390	14.717	TRAIN 29.20% <= best 33.60% [cagr] [risk:trail_k=0.25 select:cagr]
2026-09-14T19:30:11Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.3}	25	30.362	-19.557	1.552	23.464	37.298	8.290	-21.543	14.717	TRAIN 30.36% <= best 33.60% [cagr] [risk:trail_k=0.3 select:cagr]
2026-09-14T19:30:44Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.1, "regime_ma": 10}	25	30.200	-21.622	1.397	23.914	36.491	9.200	-17.752	14.717	TRAIN 30.20% <= best 33.60% [cagr] [risk:none select:cagr]
2026-09-14T19:30:52Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.07, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 33.60% [cagr] [risk:none select:cagr]
2026-09-14T19:30:56Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.12, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 33.60% [cagr] [risk:none select:cagr]
2026-09-14T19:31:01Z	keep	strat_newhigh	{"lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	33.794	-16.731	2.020	26.232	41.426	6.528	-21.313	14.717	beats best on cagr [risk:none select:cagr]
2026-09-14T19:31:08Z	discard	strat_newhigh	{"lookback": 13, "max_dist": 0.1, "regime_ma": 5}	25	32.218	-17.579	1.833	21.469	43.351	8.976	-19.890	14.717	TRAIN 32.22% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-14T19:31:43Z	discard	strat_newhigh	{"lookback": 10, "max_dist": 0.1, "regime_ma": 5}	25	31.983	-18.758	1.705	23.686	40.411	5.583	-20.936	14.717	TRAIN 31.98% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-14T19:31:46Z	discard	strat_newhigh	{"lookback": 11, "max_dist": 0.1, "max_hold": 9, "regime_ma": 5}	25	33.338	-17.223	1.936	25.685	41.069	6.528	-21.313	14.717	TRAIN 33.34% <= best 33.79% [cagr] [risk:max_hold=9 select:cagr]
2026-09-14T19:32:16Z	discard	strat_newhigh_tier	{"lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	25.503	-17.857	1.428	18.940	32.098	8.308	-17.407	14.717	TRAIN 25.50% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-14T19:33:32Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6}	25	30.024	-16.899	1.777	20.217	40.120	9.889	-19.468	14.717	TRAIN 30.02% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-14T19:33:35Z	discard	strat_newhigh	{"lookback": 12, "max_dist": 0.07, "regime_ma": 6}	25	31.214	-15.924	1.960	24.933	37.496	9.139	-20.612	14.717	TRAIN 31.21% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-14T19:33:39Z	discard	strat_volmom	{"lookback": 9, "regime_ma": 6, "vol_lb": 9}	25	20.390	-25.683	0.794	14.494	26.295	17.390	-15.501	14.717	TRAIN 20.39% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-14T19:33:50Z	discard	strat_combo	{"abs_mom": true, "htf_min": 55, "lookback": 9, "min_recovery": 2.0, "pullback_max": 50, "regime_ma": 6, "rising_bars": 1, "stock_ma": 0}	25	20.869	-29.470	0.708	9.440	32.876	17.845	-16.986	14.717	TRAIN 20.87% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-14T19:34:00Z	discard	strat_w50k30b	{}	30	17.144	-19.250	0.891	0.758	35.245	14.167	-15.271	14.717	TRAIN 17.14% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:37:47Z	discard	strat_floorlift	{}	25	20.184	-32.137	0.628	8.622	32.352	17.237	-26.443	14.717	TRAIN 20.18% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:37:54Z	discard	strat_volsqueeze	{}	25	20.859	-23.022	0.906	11.452	30.567	9.118	-21.805	14.717	TRAIN 20.86% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:37:57Z	discard	strat_accel	{}	25	10.854	-59.456	0.183	11.222	10.505	13.834	-20.512	14.717	TRAIN 10.85% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:38:09Z	discard	strat_liqtrend	{}	25	24.344	-25.221	0.965	29.077	19.992	5.280	-26.668	14.717	TRAIN 24.34% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:38:28Z	discard	strat_floorlift	{"floor_lb": 24}	25	36.641	-29.705	1.233	25.602	48.069	17.271	-29.505	14.717	DD -29.7% breaches floor/slack [risk:none select:cagr]
2026-09-15T02:38:34Z	discard	strat_floorlift	{"weak_exp": 0.4}	25	19.858	-39.389	0.504	10.574	29.435	20.220	-22.929	14.717	TRAIN 19.86% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:38:39Z	discard	strat_volsqueeze	{"weak_exp": 0.4}	25	19.855	-35.423	0.560	12.568	27.241	10.105	-25.737	14.717	TRAIN 19.85% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:39:10Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	44.591	-26.857	1.660	33.955	55.517	17.065	-31.104	14.717	DD -26.9% breaches floor/slack [risk:none select:cagr]
2026-09-15T02:39:14Z	discard	strat_floorhigh	{"floor_lb": 36, "lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	37.376	-27.800	1.344	18.837	57.740	16.884	-26.324	14.717	DD -27.8% breaches floor/slack [risk:none select:cagr]
2026-09-15T02:39:28Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.2}	25	34.140	-26.894	1.269	27.682	40.601	12.145	-31.446	14.717	DD -26.9% breaches floor/slack [risk:trail_k=0.2 select:cagr]
2026-09-15T02:39:33Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "max_hold": 9, "regime_ma": 5}	25	44.456	-28.477	1.561	32.562	56.789	16.660	-31.104	14.717	DD -28.5% breaches floor/slack [risk:max_hold=9 select:cagr]
2026-09-15T02:39:46Z	discard	strat_floorlift	{"floor_lb": 24, "trail_k": 0.25}	25	34.649	-27.504	1.260	23.741	45.943	16.857	-28.019	14.717	DD -27.5% breaches floor/slack [risk:trail_k=0.25 select:cagr]
2026-09-15T02:52:45Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6}	25	30.024	-16.899	1.777	20.217	40.120	9.889	-19.468	14.717	TRAIN 30.02% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T02:56:22Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.1}	25	25.249	-21.382	1.181	18.439	32.108	11.336	-19.088	14.717	TRAIN 25.25% <= best 33.79% [cagr] [risk:trail_k=0.1 select:cagr]
2026-09-15T02:56:32Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.15}	25	24.576	-21.183	1.160	16.651	32.633	10.905	-19.237	14.717	TRAIN 24.58% <= best 33.79% [cagr] [risk:trail_k=0.15 select:cagr]
2026-09-15T02:56:41Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.2}	25	26.288	-20.481	1.284	18.112	34.610	9.805	-20.609	14.717	TRAIN 26.29% <= best 33.79% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-15T02:56:49Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.25}	25	27.287	-20.867	1.308	18.767	35.979	8.937	-21.272	14.717	TRAIN 27.29% <= best 33.79% [cagr] [risk:trail_k=0.25 select:cagr]
2026-09-15T02:56:58Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.3}	25	29.114	-20.916	1.392	18.985	39.573	10.794	-20.413	14.717	TRAIN 29.11% <= best 33.79% [cagr] [risk:trail_k=0.3 select:cagr]
2026-09-15T03:11:51Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6, "trail_k": 0.05}	25	31.977	-22.017	1.452	22.014	42.234	11.500	-20.168	14.717	TRAIN 31.98% <= best 33.79% [cagr] [risk:trail_k=0.05 select:cagr]
2026-09-15T03:12:02Z	discard	strat_floorsqueeze	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	37.600	-28.229	1.332	28.335	47.056	12.696	-31.855	14.717	DD -28.2% breaches floor/slack [risk:none select:cagr]
2026-09-15T03:12:12Z	discard	strat_floorlift	{"weak_exp": 0.4}	25	19.858	-39.389	0.504	10.574	29.435	20.220	-22.929	14.717	TRAIN 19.86% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T03:12:16Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	44.591	-26.857	1.660	33.955	55.517	17.065	-31.104	14.717	DD -26.9% breaches floor/slack [risk:none select:cagr]
2026-09-15T03:12:20Z	discard	strat_newhigh	{"lookback": 15, "max_dist": 0.1, "regime_ma": 6}	25	30.024	-16.899	1.777	20.217	40.120	9.889	-19.468	14.717	TRAIN 30.02% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T03:12:24Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "weak_exp": 0.4}	25	41.313	-40.540	1.019	32.338	50.438	24.254	-28.880	14.717	DD -40.5% breaches floor/slack [risk:none select:cagr]
2026-09-15T03:12:27Z	discard	strat_floorsqueeze	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	37.600	-28.229	1.332	28.335	47.056	12.696	-31.855	14.717	DD -28.2% breaches floor/slack [risk:none select:cagr]
2026-09-15T03:12:31Z	discard	strat_floorsqueeze	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "weak_exp": 0.4}	25	36.609	-30.804	1.188	28.422	44.901	18.397	-27.750	14.717	DD -30.8% breaches floor/slack [risk:none select:cagr]
2026-09-15T03:12:35Z	discard	strat_highsqueeze	{"lookback": 11, "max_dist": 0.1, "regime_ma": 5}	25	29.864	-19.363	1.542	23.159	36.597	8.462	-18.669	14.717	TRAIN 29.86% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T03:12:39Z	discard	strat_highsqueeze	{"lookback": 11, "max_dist": 0.1, "regime_ma": 5, "weak_exp": 0.4}	25	28.599	-20.917	1.367	23.180	33.987	11.305	-17.467	14.717	TRAIN 28.60% <= best 33.79% [cagr] [risk:none select:cagr]
2026-09-15T03:12:42Z	discard	strat_flooraccel	{"floor_lb": 24, "regime_ma": 5}	25	37.451	-29.705	1.261	28.728	46.318	10.768	-29.505	14.717	DD -29.7% breaches floor/slack [risk:none select:cagr]
2026-09-15T03:12:46Z	discard	strat_flooraccel	{"floor_lb": 24, "regime_ma": 5, "weak_exp": 0.4}	25	36.063	-33.190	1.087	28.935	43.227	16.094	-27.095	14.717	DD -33.2% breaches floor/slack [risk:none select:cagr]
2026-09-15T03:13:00Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.05, "weak_exp": 0.4}	25	30.647	-48.360	0.634	26.235	34.998	15.378	-38.363	14.717	TRAIN 30.65% <= best 33.79% [cagr] [risk:trail_k=0.05 select:cagr]
2026-09-15T03:13:10Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.1, "weak_exp": 0.4}	25	29.924	-46.717	0.641	25.769	34.013	21.570	-30.068	14.717	TRAIN 29.92% <= best 33.79% [cagr] [risk:trail_k=0.1 select:cagr]
2026-09-15T03:13:20Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.2, "weak_exp": 0.4}	25	30.147	-44.874	0.672	26.438	33.785	18.393	-29.160	14.717	TRAIN 30.15% <= best 33.79% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-15T03:13:29Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.3, "weak_exp": 0.4}	25	33.464	-41.444	0.807	32.018	34.857	18.363	-27.249	14.717	TRAIN 33.46% <= best 33.79% [cagr] [risk:trail_k=0.3 select:cagr]
2026-09-15T03:13:32Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "max_hold": 9, "regime_ma": 5, "weak_exp": 0.4}	25	41.641	-40.651	1.024	30.874	52.731	24.472	-28.634	14.717	DD -40.7% breaches floor/slack [risk:max_hold=9 select:cagr]
2026-09-15T03:13:36Z	discard	strat_floorhigh	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "max_hold": 12, "regime_ma": 5, "weak_exp": 0.4}	25	40.367	-40.828	0.989	32.228	48.595	23.838	-28.880	14.717	DD -40.8% breaches floor/slack [risk:max_hold=12 select:cagr]
2026-09-15T03:13:48Z	discard	strat_floorlift	{"trail_k": 0.05, "weak_exp": 0.4}	25	20.145	-45.946	0.438	4.618	37.092	18.714	-33.776	14.717	TRAIN 20.15% <= best 33.79% [cagr] [risk:trail_k=0.05 select:cagr]
2026-09-15T03:13:57Z	discard	strat_floorlift	{"trail_k": 0.1, "weak_exp": 0.4}	25	21.037	-41.761	0.504	8.056	34.865	16.118	-29.964	14.717	TRAIN 21.04% <= best 33.79% [cagr] [risk:trail_k=0.1 select:cagr]
2026-09-15T03:14:05Z	discard	strat_floorlift	{"trail_k": 0.2, "weak_exp": 0.4}	25	24.954	-40.898	0.610	9.789	41.360	13.702	-30.133	14.717	TRAIN 24.95% <= best 33.79% [cagr] [risk:trail_k=0.2 select:cagr]
2026-09-15T03:14:13Z	discard	strat_floorlift	{"trail_k": 0.3, "weak_exp": 0.4}	25	17.252	-44.425	0.388	9.229	25.450	15.859	-23.340	14.717	TRAIN 17.25% <= best 33.79% [cagr] [risk:trail_k=0.3 select:cagr]
2026-09-15T03:14:17Z	discard	strat_floorlift	{"max_hold": 9, "weak_exp": 0.4}	25	22.964	-39.276	0.585	11.043	35.520	20.350	-27.033	14.717	TRAIN 22.96% <= best 33.79% [cagr] [risk:max_hold=9 select:cagr]
2026-09-15T03:14:21Z	discard	strat_floorlift	{"max_hold": 12, "weak_exp": 0.4}	25	22.069	-37.438	0.589	8.626	36.434	22.508	-23.483	14.717	TRAIN 22.07% <= best 33.79% [cagr] [risk:max_hold=12 select:cagr]
2026-09-15T03:14:30Z	discard	strat_floorsqueeze	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.1, "weak_exp": 0.4}	25	30.479	-40.202	0.758	25.635	35.272	10.348	-33.661	14.717	TRAIN 30.48% <= best 33.79% [cagr] [risk:trail_k=0.1 select:cagr]
2026-09-15T03:14:38Z	discard	strat_floorsqueeze	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "regime_ma": 5, "trail_k": 0.3, "weak_exp": 0.4}	25	28.887	-35.902	0.805	24.826	32.883	14.445	-28.255	14.717	TRAIN 28.89% <= best 33.79% [cagr] [risk:trail_k=0.3 select:cagr]
2026-09-15T03:14:42Z	discard	strat_floorsqueeze	{"floor_lb": 24, "lookback": 11, "max_dist": 0.1, "max_hold": 9, "regime_ma": 5, "weak_exp": 0.4}	25	39.229	-29.866	1.314	29.312	49.392	18.836	-27.345	14.717	DD -29.9% breaches floor/slack [risk:max_hold=9 select:cagr]
